AC Cars,Cobra Superblower (MkIV),1999,United Kingdom,164000,Roadster,Sports Cars,Factory,Cobra,true,true,Petrol,V8,4942,Single Supercharger,360,522,RWD,Manual,5,1210,250,4.4
AC Cars,Cobra GT 6.2 (MkVI),2009,United Kingdom,135400,Roadster,Sports Cars,Factory,Cobra,false,true,Petrol,V8,6162,Single Supercharger,443,583,RWD,Manual,6,1050,278,3.7
AC Cars,Cobra GT 7.0 (MkVI),2009,United Kingdom,154200,Roadster,Sports Cars,Factory,Cobra,false,true,Petrol,V8,7000,Single Supercharger,649,740,RWD,Manual,6,1095,289,3.2
AC Cars,Cobra GTS (MkVI),2009,United Kingdom,223000,Coupé,Supercars,Factory,Cobra,false,true,Petrol,V8,6162,Single Supercharger,656,820,RWD,Manual,6,1080,305,3.3
AC Cars,Cobra GTSR (MkVI),2014,United Kingdom,300000,Roadster,Supercars,Factory,Cobra,false,true,Petrol,V8,6162,Naturally Aspirated,791,1050,RWD,Manual,6,995,332,2.8
Acura,CL 2.2 AT,1997,United States of America,5600,Coupé,Sunday Cruise,Factory,Acura CL,true,true,Petrol,I4,2156,Naturally Aspirated,147,199,FWD,Automatic,4,1390,209,8.6
Acura,CL 2.2 MT,1997,United States of America,6600,Coupé,Sunday Cruise,Factory,Acura CL,true,true,Petrol,I4,2156,Naturally Aspirated,147,199,FWD,Manual,5,1390,209,8.6
Acura,CL 3.0 V6,1997,United States of America,8000,Coupé,Sunday Cruise,Factory,Acura CL,true,true,Petrol,V6,2997,Naturally Aspirated,203,265,FWD,Automatic,4,1465,230,8.0
Acura,CL 2.3 AT,1998,United States of America,5800,Coupé,Sunday Cruise,Factory,Acura CL,true,true,Petrol,I4,2254,Naturally Aspirated,152,207,FWD,Automatic,4,1390,220,8.2
Acura,CL 2.3 MT,1998,United States of America,6800,Coupé,Sunday Cruise,Factory,Acura CL,true,true,Petrol,I4,2254,Naturally Aspirated,152,207,FWD,Manual,5,1390,220,8.2
Acura,CL 3.2 AT,2000,United States of America,8400,Coupé,Sunday Cruise,Factory,Acura CL,false,true,Petrol,V6,3210,Naturally Aspirated,228,294,FWD,Automatic,5,1574,220,7.8
Acura,CL 3.2 MT,2000,United States of America,9400,Coupé,Sunday Cruise,Factory,Acura CL,false,true,Petrol,V6,3210,Naturally Aspirated,228,294,FWD,Manual,6,1574,230,7.7
Acura,CL Type S AT,2000,United States of America,11600,Coupé,Sports Cars,Factory,Acura CL,false,true,Petrol,V6,3210,Naturally Aspirated,264,315,FWD,Automatic,5,1595,240,6.6
Acura,CL Type S MT,2000,United States of America,13000,Coupé,Sports Cars,Factory,Acura CL,false,true,Petrol,V6,3210,Naturally Aspirated,264,315,FWD,Manual,6,1595,240,6.6
Acura,CSX AT,2005,United States of America,4430,Compact Sedan,Saloons,Factory,CSX,false,true,Petrol,I4,1998,Naturally Aspirated,157,188,FWD,Automatic,5,1343,220,8.2
Acura,CSX MT,2005,United States of America,5600,Compact Sedan,Saloons,Factory,CSX,false,true,Petrol,I4,1998,Naturally Aspirated,157,188,FWD,Manual,5,1343,220,8.2
Acura,EL AT,2000,United States of America,4200,Compact Sedan,Saloons,Factory,EL,false,true,Petrol,I4,1668,Naturally Aspirated,129,155,FWD,Automatic,4,1300,195,9.3
Acura,EL MT,2000,United States of America,4200,Compact Sedan,Saloons,Factory,EL,false,true,Petrol,I4,1668,Naturally Aspirated,129,155,FWD,Manual,5,1300,195,9.3
Acura,ILX 2.4 AT,2019,United States of America,31090,Mid-Size,Saloons,Factory,ILX,false,true,Petrol,I4,2354,Naturally Aspirated,204,231,FWD,Automatic,5,1351,220,6.3
Acura,ILX 2.4 MT,2019,United States of America,31091,Mid-Size,Saloons,Factory,ILX,false,true,Petrol,I4,2354,Naturally Aspirated,204,231,FWD,Manual,6,1351,220,6.3
Acura,Integra Coupé 1.8 AT,1993,United States of America,14000,Coupé,Sunday Cruise,Factory,Integra,true,true,Petrol,I4,1834,Naturally Aspirated,144,172,FWD,Automatic,4,1210,195,9.8
Acura,Integra Coupé 1.8 MT,1993,United States of America,14000,Coupé,Sunday Cruise,Factory,Integra,true,true,Petrol,I4,1834,Naturally Aspirated,144,172,FWD,Manual,5,1210,195,9.8
Acura,Integra Sedan 1.8 AT,1993,United States of America,14300,Mid-Size,Saloons,Factory,Integra,true,true,Petrol,I4,1834,Naturally Aspirated,144,172,FWD,Automatic,4,1240,195,9.9
Acura,Integra Sedan 1.8 MT,1993,United States of America,14000,Mid-Size,Saloons,Factory,Integra,true,true,Petrol,I4,1834,Naturally Aspirated,144,172,FWD,Manual,5,1240,195,9.9
